SATISFACTION_LEVEL,LAST_EVALUATION,NUMBER_PROJECTS,AVERAGE_MONTHLY_HOURS,TIME_SPEND_COMPANY,WORK_ACCIDENT,LEFT_COMPANY,PROMOTION_LAST_5YEARS,DEPARTMENT,SALARY
0.38,0.54,2,150,3,false,true,false,sales,medium
0.44,0.46,2,157,3,false,true,false,sales,medium
0.73,1,5,230,5,false,true,false,sales,low
0.89,0.91,5,260,5,false,true,false,sales,low
0.11,0.77,6,275,4,false,true,false,accounting,low
0.1,0.77,7,308,4,false,true,false,accounting,low
0.37,0.46,2,129,3,false,true,false,accounting,low
0.38,0.48,2,134,3,false,true,false,hr,low
0.42,0.48,2,132,3,false,true,false,hr,low
0.44,0.46,2,153,3,false,true,false,hr,low
0.11,0.83,6,262,4,false,true,false,hr,low
0.09,0.97,7,262,4,false,true,false,technical,low
0.43,0.47,2,130,3,false,true,false,technical,low
0.38,0.52,2,156,3,false,true,false,technical,low
0.11,0.89,6,254,4,false,true,false,technical,low
0.37,0.49,2,130,3,false,true,false,technical,low
0.44,0.57,2,139,3,false,true,false,technical,low
0.72,0.82,5,269,5,false,true,false,technical,low
0.1,0.91,7,297,4,false,true,false,technical,low
0.73,0.86,5,249,5,false,true,false,technical,low
0.09,0.82,7,267,4,false,true,false,technical,low
0.44,0.46,2,149,3,false,true,false,technical,low
0.09,0.82,6,251,4,false,true,false,support,low
0.1,0.87,6,306,4,false,true,false,support,medium
0.11,0.86,6,279,4,false,true,false,support,medium
0.42,0.46,2,131,3,false,true,false,support,medium
0.09,0.85,6,260,4,false,true,false,support,medium
0.72,0.88,5,249,5,false,true,false,support,medium
0.75,0.97,4,245,5,false,true,false,support,medium
0.44,0.5,2,138,3,false,true,false,support,medium
0.11,0.91,6,278,4,false,true,false,support,medium
0.38,0.47,2,147,3,false,true,false,support,medium
0.39,0.57,2,131,3,false,true,false,support,medium
0.1,0.9,7,301,4,false,true,false,technical,medium
0.43,0.52,2,141,3,false,true,false,technical,medium
0.39,0.57,2,158,3,false,true,false,technical,high
0.88,0.87,4,235,6,false,true,false,management,low
0.1,0.85,7,261,4,false,true,false,IT,medium
0.1,0.89,5,270,4,false,true,false,IT,medium
0.11,0.93,6,290,4,false,true,false,IT,medium
0.37,0.47,2,149,3,false,true,false,IT,medium
0.37,0.48,2,160,3,false,true,false,IT,low
0.77,0.87,4,150,4,false,true,false,product_mng,low
0.91,0.94,5,218,6,false,true,false,product_mng,low
0.46,0.51,2,155,3,false,true,false,product_mng,low
0.11,0.87,6,291,4,false,true,false,product_mng,low
0.86,0.91,5,265,5,false,true,false,IT,low
0.87,0.88,5,262,6,false,true,false,sales,low
0.09,0.92,6,303,5,false,true,false,sales,low
0.42,0.46,2,132,3,false,true,false,sales,low
0.82,0.83,4,245,5,true,true,false,sales,low
0.46,0.48,2,129,3,false,true,false,sales,low
0.88,1,5,226,6,false,true,false,marketing,low
0.1,0.91,6,286,4,false,true,false,marketing,low
0.43,0.45,2,140,3,false,true,false,sales,low
0.37,0.49,2,153,3,false,true,false,accounting,low
0.8,0.95,5,217,5,false,true,false,support,low
0.83,0.95,5,258,5,false,true,false,technical,low
0.39,0.57,2,156,3,false,true,false,management,low
0.77,0.92,5,255,5,false,true,false,marketing,low
0.43,0.46,2,129,3,false,true,false,marketing,low
0.79,0.96,4,234,5,false,true,false,marketing,low
0.39,0.55,2,152,3,true,true,false,sales,medium
0.1,0.88,7,300,4,false,true,false,sales,medium
0.39,0.53,2,131,3,false,true,false,sales,medium
0.11,0.89,6,301,4,false,true,false,sales,medium
0.4,0.51,2,156,3,false,true,false,sales,medium
0.42,0.52,2,141,3,true,true,false,sales,medium
0.57,0.85,4,219,2,true,true,false,sales,medium
0.11,0.95,7,269,5,false,true,false,sales,medium
0.36,0.73,4,276,2,false,true,false,sales,medium
0.11,0.94,7,302,4,false,true,false,sales,medium
0.35,0.8,6,281,2,false,true,false,sales,medium
0.78,0.99,5,241,5,false,true,false,sales,medium
0.11,0.93,7,288,4,false,true,false,sales,high
0.1,0.96,6,303,4,false,true,false,sales,low
0.42,0.54,2,135,3,false,true,false,sales,medium
0.43,0.5,2,127,3,true,true,false,sales,medium
0.79,0.84,5,245,5,false,true,false,sales,medium
0.45,0.45,2,145,3,false,true,false,sales,medium
0.09,0.91,6,248,4,false,true,false,sales,low
0.11,0.91,6,302,4,false,true,false,accounting,low
0.45,0.49,2,144,3,false,true,false,accounting,low
0.11,0.91,6,272,4,false,true,false,accounting,low
0.09,0.8,6,294,4,false,true,false,hr,low
0.78,0.71,4,296,3,false,true,false,hr,low
0.38,0.5,2,151,3,true,true,false,hr,low
0.82,0.82,4,249,5,false,true,false,hr,low
0.85,0.89,4,221,5,false,true,false,technical,low
0.45,0.46,2,146,3,false,true,false,technical,low
0.77,0.89,5,243,5,false,true,false,technical,low
0.39,0.5,2,127,3,false,true,false,technical,low
0.91,0.9,4,245,5,false,true,false,technical,low
0.11,0.77,6,264,4,false,true,false,technical,low
0.46,0.45,2,143,3,false,true,false,technical,low
0.43,0.49,2,135,3,false,true,false,technical,low
0.11,0.96,6,262,4,true,true,false,technical,low
0.1,0.93,6,299,4,false,true,false,technical,low
0.09,0.8,5,279,4,false,true,false,technical,low
0.36,0.51,2,155,3,false,true,false,support,low
0.11,0.89,6,264,4,false,true,false,support,low
0.09,0.77,6,256,5,false,true,false,support,medium
0.44,0.51,2,129,3,false,true,false,support,medium
0.73,0.97,5,217,6,false,true,false,support,medium
0.21,0.58,7,203,5,false,true,false,support,medium
0.8,0.85,4,264,5,false,true,false,support,medium
0.37,0.55,2,159,3,false,true,false,support,medium
0.79,0.96,5,218,5,false,true,false,support,medium
0.09,0.8,6,298,4,false,true,false,support,medium
0.75,0.74,6,134,3,false,true,false,support,medium
0.83,1,5,263,5,false,true,false,technical,medium
0.1,0.77,5,252,4,false,true,false,technical,medium
0.44,0.55,2,136,3,false,true,false,technical,medium
0.42,0.97,6,259,4,false,true,false,management,high
0.43,0.56,2,158,3,false,true,false,IT,low
0.09,0.84,7,307,4,false,true,false,IT,medium
0.44,0.53,2,152,3,false,true,false,IT,medium
0.81,0.98,5,237,5,false,true,false,IT,medium
0.1,0.79,7,284,4,false,true,false,IT,medium
0.1,0.93,6,243,4,false,true,false,product_mng,low
0.11,0.83,6,268,4,false,true,false,product_mng,low
0.09,0.77,6,244,4,false,true,false,product_mng,low
0.75,0.83,5,262,5,false,true,false,product_mng,low
0.38,0.55,2,134,3,false,true,false,IT,low
0.09,0.87,7,278,4,false,true,false,IT,low
0.74,0.97,5,238,5,false,true,false,IT,low
0.44,0.56,2,127,3,false,true,false,IT,low
0.76,0.95,4,259,5,false,true,false,RandD,low
0.42,0.56,2,146,3,false,true,false,RandD,low
0.75,1,4,243,5,false,true,false,RandD,low
0.36,0.52,2,137,3,false,true,false,marketing,low
0.75,0.93,5,229,5,false,true,false,sales,low
0.4,0.46,2,134,3,false,true,false,accounting,low
0.75,0.89,4,228,5,false,true,false,support,low
0.09,0.84,6,301,4,false,true,false,technical,low
0.39,0.46,2,127,3,false,true,false,management,low
0.4,0.48,2,142,3,false,true,false,marketing,low
0.39,0.54,2,131,3,false,true,false,marketing,low
0.1,0.85,7,310,5,false,true,false,marketing,low
0.42,0.55,2,148,3,false,true,false,sales,low
0.37,0.52,2,143,3,false,true,false,sales,medium
0.11,0.98,6,250,4,false,true,false,sales,medium
0.09,0.88,7,265,4,false,true,false,sales,medium
0.41,0.54,2,152,3,false,true,false,sales,medium
0.42,0.49,2,145,3,false,true,false,sales,medium
0.4,0.49,2,140,3,false,true,false,sales,medium
0.36,0.47,2,129,3,false,true,false,sales,medium
0.74,0.9,4,226,5,false,true,false,sales,medium
0.66,1,5,269,5,false,true,false,sales,medium
0.38,0.47,2,152,3,false,true,false,sales,medium
0.43,0.51,2,132,3,false,true,false,sales,medium
0.43,0.53,2,148,3,false,true,false,sales,medium
0.1,0.85,6,297,5,false,true,false,sales,high
0.82,0.85,4,274,5,false,true,false,sales,low
0.1,0.77,6,280,4,false,true,false,sales,medium
0.1,0.93,6,288,4,false,true,false,sales,medium
0.43,0.49,2,155,3,false,true,false,sales,medium
0.09,0.94,7,247,4,false,true,false,sales,medium
0.41,0.54,2,138,3,false,true,false,accounting,low
0.1,0.82,7,284,4,false,true,false,accounting,low
0.88,0.92,4,225,5,false,true,false,accounting,low
0.43,0.57,2,151,3,true,true,false,hr,low
0.42,0.5,2,155,3,false,true,false,hr,low
0.85,1,4,234,5,false,true,false,hr,low
0.38,0.49,2,144,3,false,true,false,hr,low
0.39,0.47,2,142,3,false,true,false,technical,low
0.41,0.48,2,126,3,false,true,false,technical,low
0.88,0.92,4,233,6,false,true,false,technical,low
0.78,0.96,4,241,5,false,true,false,technical,low
0.45,0.48,2,138,3,false,true,false,technical,low
0.09,0.95,6,260,4,true,true,false,technical,low
0.44,0.56,2,145,3,false,true,false,technical,low
0.11,0.84,6,252,4,false,true,false,technical,low
0.36,0.51,2,143,3,false,true,false,technical,low
0.86,0.98,4,270,5,false,true,false,technical,low
0.1,0.92,6,285,4,false,true,false,technical,low
0.45,0.53,2,149,3,false,true,false,support,low
0.42,0.53,2,158,3,false,true,false,support,low
0.36,0.55,2,134,3,false,true,false,support,low
0.45,0.55,2,129,3,false,true,false,support,medium
0.38,0.57,2,131,3,false,true,false,support,medium
0.11,0.97,6,288,4,false,true,false,support,medium
0.45,0.46,2,142,3,false,true,false,support,medium
0.87,0.95,5,227,5,false,true,false,support,medium
0.45,0.53,2,131,3,false,true,false,support,medium
0.1,0.83,6,283,5,false,true,false,support,medium
0.44,0.54,2,139,3,false,true,false,support,medium
0.78,1,4,267,5,false,true,false,technical,medium
0.38,0.56,2,148,3,false,true,false,technical,medium
0.85,0.84,5,272,6,false,true,false,technical,medium
0.36,0.48,2,148,3,true,true,false,management,medium
0.75,0.88,5,270,5,false,true,false,IT,high
0.81,0.81,4,218,5,true,true,false,IT,low
0.4,0.55,2,150,3,false,true,false,IT,medium
0.83,0.83,5,260,5,false,true,false,IT,medium
0.41,0.52,2,127,3,false,true,false,IT,medium
0.42,0.57,2,134,3,false,true,false,product_mng,medium
0.09,0.83,7,258,4,false,true,false,product_mng,low
0.87,0.81,5,304,5,false,true,false,product_mng,low
0.43,0.56,6,149,4,false,true,false,product_mng,low
0.39,0.51,2,139,3,false,true,false,IT,low
0.1,0.9,6,272,5,false,true,false,RandD,low
0.41,0.52,2,132,3,false,true,false,RandD,low
0.72,1,2,240,2,false,true,false,RandD,low
0.44,0.55,2,137,3,false,true,false,RandD,low
0.38,0.5,2,139,3,false,true,false,RandD,low
0.46,0.52,2,148,3,false,true,false,RandD,low
0.4,0.49,2,149,3,false,true,false,marketing,low
0.45,0.45,2,131,3,false,true,false,sales,low
0.89,0.89,5,262,5,false,true,false,accounting,low
0.1,0.97,7,284,4,false,true,false,support,low
0.46,0.48,2,161,3,false,true,false,technical,low
0.09,0.78,7,290,4,false,true,false,management,low
0.45,0.57,2,149,3,false,true,false,marketing,low
0.89,0.98,4,242,6,false,true,false,marketing,low
0.62,0.77,5,227,4,false,true,false,marketing,low
0.11,0.93,6,276,4,false,true,false,sales,low
0.44,0.5,2,135,3,false,true,false,sales,low
0.09,0.94,6,266,4,false,true,false,sales,medium
0.56,0.75,5,236,2,false,true,false,sales,medium
0.77,0.89,4,270,5,false,true,false,sales,medium
0.39,0.49,2,146,3,false,true,false,sales,medium
0.1,0.92,5,272,4,false,true,false,sales,medium
0.72,0.85,5,246,5,false,true,false,sales,medium
0.4,0.52,2,136,3,false,true,false,sales,medium
0.11,0.81,6,260,4,false,true,false,sales,medium
0.88,1,5,247,5,false,true,false,sales,medium
0.37,0.51,2,127,3,false,true,false,sales,medium
0.11,0.96,6,267,4,false,true,false,sales,medium
0.4,0.52,2,143,3,false,true,false,sales,medium
0.1,0.86,6,306,4,false,true,false,sales,high
0.62,0.89,3,131,4,false,true,false,sales,low
0.78,0.86,4,249,5,false,true,false,sales,medium
0.37,0.52,2,144,3,false,true,false,sales,medium
0.76,0.82,4,254,5,true,true,false,sales,medium
0.42,0.53,2,131,3,false,true,false,accounting,medium
0.1,0.77,6,272,4,false,true,false,accounting,low
0.42,0.47,2,157,3,false,true,false,accounting,low
0.1,0.96,7,301,4,false,true,false,hr,low
0.1,0.81,6,252,4,false,true,false,hr,low
0.42,0.47,2,130,3,false,true,false,hr,low
0.09,0.86,6,297,4,false,true,false,hr,low
0.1,0.8,6,248,4,false,true,false,technical,low
0.11,0.89,7,257,4,false,true,false,technical,low
0.44,0.53,2,147,3,false,true,false,technical,low
0.87,0.9,3,307,5,false,true,false,technical,low
0.44,0.46,2,154,3,false,true,false,technical,low
0.41,0.56,2,143,3,false,true,false,technical,low
0.51,0.79,4,134,3,false,true,false,technical,low
0.89,0.96,5,221,5,false,true,false,technical,low
0.1,0.96,6,275,4,false,true,false,technical,low
0.9,0.94,5,247,5,false,true,false,technical,low
0.36,0.55,2,131,3,false,true,false,technical,low
0.44,0.54,2,150,3,false,true,false,support,low
0.39,0.57,2,150,3,false,true,false,support,low
0.38,1,5,137,4,false,true,false,support,low
0.73,0.95,4,223,6,false,true,false,support,low
0.1,0.96,6,292,4,false,true,false,support,medium
0.89,0.83,5,130,4,true,true,false,support,medium
0.87,0.85,5,221,6,false,true,false,support,medium
0.84,0.89,4,245,5,true,true,false,support,medium
0.11,0.77,6,274,4,false,true,false,support,medium
0.74,1,5,248,5,false,true,false,support,medium
0.79,0.97,4,243,5,false,true,false,support,medium
0.1,0.92,7,273,4,false,true,false,technical,medium
0.83,0.95,5,221,5,false,true,false,technical,medium
0.1,0.79,6,271,4,false,true,false,technical,medium
0.45,0.5,2,157,3,false,true,false,management,medium
0.29,0.48,2,249,4,false,true,false,IT,medium
0.46,0.46,2,145,3,false,true,false,IT,high
0.11,0.83,6,262,5,false,true,false,IT,low
0.75,0.89,5,272,5,false,true,false,IT,medium
0.4,0.5,2,129,3,false,true,false,IT,medium
0.37,0.46,2,134,3,false,true,false,product_mng,medium
0.41,0.52,2,147,3,false,true,false,product_mng,medium
0.1,0.83,6,293,4,false,true,false,product_mng,low
0.39,0.52,2,129,3,false,true,false,product_mng,low
0.4,0.45,2,140,3,false,true,false,IT,low
0.41,0.52,2,132,3,false,true,false,RandD,low
0.11,0.89,6,284,4,false,true,false,RandD,low
0.74,0.99,5,263,5,false,true,false,RandD,low
0.42,0.46,2,143,3,false,true,false,RandD,low
0.88,0.88,4,265,5,false,true,false,RandD,low
0.37,0.53,2,147,3,false,true,false,RandD,low
0.78,0.81,4,253,5,false,true,false,marketing,low
0.46,0.5,2,141,3,false,true,false,sales,low
0.74,1,5,222,6,false,true,false,accounting,low
0.11,0.86,6,273,4,true,true,false,support,low
0.8,0.87,5,240,6,false,true,false,technical,low
0.37,0.48,2,154,3,false,true,false,management,low
0.87,0.92,4,253,6,false,true,false,marketing,low
0.9,0.84,5,221,5,false,true,false,marketing,low
0.1,0.88,6,263,4,false,true,false,marketing,low
0.43,0.46,2,145,3,false,true,false,sales,low
0.11,0.91,6,279,4,false,true,false,sales,low
0.4,0.46,2,146,3,false,true,false,sales,low
0.09,0.93,7,270,4,false,true,false,sales,medium
0.4,0.5,2,135,3,false,true,false,sales,medium
0.14,0.7,5,236,3,false,true,false,sales,medium
0.4,0.49,2,151,3,false,true,false,sales,medium
0.11,0.79,6,244,4,true,true,false,sales,medium
0.72,1,4,169,3,false,true,false,sales,medium
0.39,0.57,2,157,3,false,true,false,sales,medium
0.82,0.93,4,246,5,false,true,false,sales,medium
0.41,0.52,2,142,3,false,true,false,sales,medium
0.45,0.51,2,156,3,false,true,false,sales,medium
0.2,0.7,6,281,5,false,true,false,sales,medium
0.43,0.53,2,146,3,false,true,false,sales,medium
0.39,0.55,2,156,3,false,true,false,sales,high
0.11,0.86,6,299,4,true,true,false,sales,low
0.45,0.47,2,136,3,false,true,false,sales,medium
0.11,0.87,6,272,4,false,true,false,sales,medium
0.84,0.86,5,240,5,false,true,false,accounting,medium
0.86,0.96,5,245,6,false,true,false,accounting,medium
0.79,0.93,5,269,5,false,true,false,accounting,low
0.39,0.57,2,130,3,false,true,false,hr,low
0.15,0.62,4,257,3,false,true,false,hr,low
0.81,1,4,241,5,false,true,false,hr,low
0.39,0.53,2,136,3,false,true,false,hr,low
0.92,0.94,4,219,5,false,true,false,technical,low
0.9,0.98,5,271,5,false,true,false,technical,low
0.32,0.6,2,280,4,false,true,false,technical,low
0.46,0.46,2,140,3,false,true,false,technical,low
0.83,0.98,4,254,5,false,true,false,technical,low
0.39,0.47,2,131,3,false,true,false,technical,low
0.2,0.9,6,138,3,false,true,false,technical,low
0.11,0.85,6,295,4,false,true,false,technical,low
0.11,0.96,6,301,5,false,true,false,technical,low
0.1,0.95,7,296,4,false,true,false,technical,low
0.75,0.87,5,246,5,false,true,false,technical,low
0.44,0.57,2,145,3,false,true,false,support,low
0.86,0.93,5,241,5,true,true,false,support,low
0.1,0.82,6,269,4,false,true,false,support,low
0.39,0.49,2,146,3,false,true,false,support,low
0.45,0.48,2,149,3,false,true,false,support,low
0.1,0.94,7,287,4,false,true,false,support,medium
0.36,0.55,2,138,3,false,true,false,support,medium
0.57,0.61,4,158,5,false,true,false,support,medium
0.09,0.87,6,266,4,false,true,false,support,medium
0.87,0.91,4,255,5,false,true,false,support,medium
0.43,0.52,2,156,3,false,true,false,support,medium
0.36,0.5,2,147,3,false,true,false,technical,medium
0.91,0.99,5,265,5,true,true,false,technical,medium
0.41,0.48,2,136,3,false,true,false,technical,medium
0.37,0.52,2,140,3,false,true,false,management,medium
0.43,0.45,2,146,3,false,true,false,IT,medium
0.43,0.57,2,142,3,false,true,false,IT,medium
0.4,0.53,2,155,3,false,true,false,IT,high
0.1,0.89,7,285,4,false,true,false,IT,low
0.76,0.99,4,253,5,true,true,false,IT,medium
0.82,0.93,4,248,5,false,true,false,product_mng,medium
0.11,0.83,7,255,5,false,true,false,product_mng,medium
0.43,0.52,2,154,3,true,true,false,product_mng,medium
0.11,0.88,7,305,4,false,true,false,product_mng,low
0.41,0.48,2,141,3,false,true,false,IT,low
0.73,0.87,5,252,5,false,true,false,RandD,low
0.37,0.57,2,157,3,false,true,false,RandD,low
0.11,0.89,6,250,4,false,true,false,RandD,low
0.46,0.52,2,131,3,false,true,false,RandD,low
0.41,0.5,2,149,3,false,true,false,RandD,low
0.78,0.78,4,260,5,false,true,false,RandD,low
0.78,0.86,5,260,6,false,true,false,marketing,low
0.72,0.86,5,251,5,false,true,false,sales,low
0.63,0.83,6,242,5,false,true,false,accounting,low
0.55,1,6,136,3,false,true,false,support,low
0.45,0.55,2,155,3,false,true,false,technical,low
0.39,0.51,2,155,3,false,true,false,management,low
0.1,0.81,6,248,4,false,true,false,marketing,low
0.4,0.5,2,136,3,false,true,false,marketing,low
0.39,0.54,2,133,3,false,true,false,marketing,low
0.78,0.45,4,128,2,false,true,false,sales,low
0.42,0.53,2,142,3,false,true,false,sales,low
0.39,0.54,2,149,3,false,true,false,sales,low
0.46,0.57,2,145,3,false,true,false,sales,low
0.1,0.92,6,279,4,false,true,false,sales,medium
0.45,0.47,2,146,3,false,true,false,sales,medium
0.1,0.83,6,264,4,true,true,false,sales,medium
0.1,0.89,7,272,4,false,true,false,sales,medium
0.78,0.86,5,256,5,false,true,false,sales,medium
0.4,0.65,2,296,5,false,true,false,sales,medium
0.45,0.51,2,155,3,true,true,false,sales,medium
0.39,0.56,2,130,3,false,true,false,sales,medium
0.43,0.48,2,157,3,false,true,false,sales,medium
0.09,0.96,6,245,4,false,true,false,sales,medium
0.79,0.86,5,226,5,false,true,false,sales,medium
0.44,0.47,2,156,3,true,true,false,sales,medium
0.79,0.95,5,228,5,false,true,false,sales,high
0.38,0.46,2,155,3,false,true,false,sales,low
0.36,0.56,2,159,3,false,true,false,sales,medium
0.39,0.57,2,142,3,false,true,false,accounting,medium
0.09,0.93,6,271,4,false,true,false,accounting,medium
0.16,0.65,4,277,5,false,true,false,accounting,medium
0.09,0.77,6,310,4,false,true,false,hr,low
0.11,0.87,6,254,4,false,true,false,hr,low
0.44,0.56,2,142,3,false,true,false,hr,low
0.11,0.88,7,253,4,false,true,false,hr,low
0.11,0.97,6,260,4,false,true,false,technical,low
0.45,0.52,2,147,3,false,true,false,technical,low
0.1,0.96,7,288,4,false,true,false,technical,low
0.4,0.46,2,160,3,false,true,false,technical,low
0.38,0.55,2,130,3,false,true,false,technical,low
0.39,0.56,2,133,3,false,true,false,technical,low
0.38,0.55,2,160,3,false,true,false,technical,low
0.38,0.45,2,151,3,false,true,false,technical,low
0.17,0.75,3,188,4,false,true,false,technical,low
0.79,0.84,5,247,5,false,true,false,technical,low
0.1,0.85,7,259,4,false,true,false,technical,low
0.37,0.48,2,129,3,false,true,false,support,low
0.42,0.49,2,152,3,false,true,false,support,low
0.44,0.48,2,128,3,false,true,false,support,low
0.11,0.83,6,253,4,false,true,false,support,low
0.39,0.48,2,151,3,false,true,false,support,low
0.1,0.83,5,271,5,false,true,false,support,low
0.4,0.46,2,155,3,false,true,false,support,medium
0.86,0.91,5,245,5,false,true,false,support,medium
0.37,0.46,2,157,3,false,true,false,support,medium
0.4,0.51,2,160,3,false,true,false,support,medium
0.43,0.48,2,149,3,false,true,false,support,medium
0.88,0.88,5,248,5,false,true,false,technical,medium
0.44,0.52,2,128,3,false,true,false,technical,medium
0.87,1,4,224,5,false,true,false,technical,medium
0.4,0.46,2,156,3,false,true,false,management,medium
0.45,0.52,2,143,3,false,true,false,IT,medium
0.84,0.93,4,250,5,false,true,false,IT,medium
0.1,0.68,3,179,3,false,true,false,IT,medium
0.72,0.99,5,257,5,false,true,false,IT,high
0.4,0.5,2,127,3,false,true,false,IT,low
0.45,0.5,2,145,3,false,true,false,product_mng,medium
0.89,0.98,5,274,5,false,true,false,product_mng,medium
0.4,0.55,2,131,3,false,true,false,product_mng,medium
0.38,0.53,2,136,3,false,true,false,product_mng,medium
0.38,0.47,2,140,3,true,true,false,IT,low
0.1,0.82,7,265,4,false,true,false,RandD,low
0.42,0.48,2,148,3,true,true,false,RandD,low
0.74,0.86,5,262,5,false,true,false,RandD,low
0.1,0.8,6,261,4,false,true,false,RandD,low
0.82,0.9,5,248,5,false,true,false,RandD,low
0.38,0.55,2,131,3,false,true,false,marketing,low
0.41,0.56,2,160,3,false,true,false,sales,low
0.4,0.47,2,152,3,false,true,false,accounting,low
0.83,0.98,4,249,5,false,true,false,support,low
0.36,0.57,2,144,3,false,true,false,technical,low
0.75,0.98,4,245,5,false,true,false,management,low
0.44,0.53,2,146,3,false,true,false,marketing,low
0.1,0.94,6,297,5,false,true,false,marketing,low
0.39,0.52,2,148,3,true,true,false,marketing,low
0.09,0.84,7,260,4,false,true,false,sales,low
0.4,0.57,2,152,3,false,true,false,sales,low
0.41,0.54,2,135,3,false,true,false,sales,low
0.83,0.92,4,235,5,false,true,false,sales,low
0.42,0.47,2,145,3,false,true,false,sales,low
0.61,0.46,5,220,4,false,true,false,sales,low
0.44,0.52,2,128,3,false,true,false,sales,medium
0.77,0.81,5,237,5,false,true,false,sales,medium
0.81,0.95,4,275,5,false,true,false,sales,medium
0.1,0.78,6,310,4,false,true,false,sales,medium
0.73,0.84,5,251,6,false,true,false,sales,medium
0.09,0.83,6,250,4,false,true,false,sales,medium
0.9,0.99,4,259,6,false,true,false,sales,medium
0.88,1,4,259,5,false,true,false,sales,medium
0.09,0.87,7,305,4,false,true,false,sales,medium
0.4,0.56,2,130,3,true,true,false,sales,medium
0.17,0.55,6,250,5,false,true,false,sales,medium
0.82,0.82,5,220,6,false,true,false,sales,medium
0.9,0.83,4,266,5,false,true,false,sales,high
0.83,0.92,4,255,5,false,true,false,accounting,low
0.44,0.5,2,154,3,false,true,false,accounting,medium
0.5,0.85,4,138,3,false,true,false,accounting,medium
0.14,0.61,6,291,5,false,true,false,hr,medium
0.77,0.82,4,217,5,false,true,false,hr,medium
0.09,0.83,6,286,4,false,true,false,hr,low
0.11,0.88,6,290,4,false,true,false,hr,low
0.44,0.57,2,148,3,false,true,false,technical,low
0.43,0.52,2,146,3,false,true,false,technical,low
0.12,0.8,5,136,2,false,true,false,technical,low
0.1,0.86,7,261,5,false,true,false,technical,low
0.1,0.96,6,274,4,false,true,false,technical,low
0.4,0.48,2,132,3,false,true,false,technical,low
0.41,0.47,2,145,3,false,true,false,technical,low
0.37,0.48,2,153,3,false,true,false,technical,low
0.4,0.48,2,139,3,false,true,false,technical,low
0.74,0.96,4,231,5,false,true,false,technical,low
0.39,0.48,2,154,3,false,true,false,technical,low
0.11,0.9,5,307,4,false,true,false,support,low
0.36,0.51,2,129,3,false,true,false,support,low
0.8,0.83,5,275,5,false,true,false,support,low
0.6,0.85,3,250,2,false,true,false,support,low
0.36,0.54,2,158,3,false,true,false,support,low
0.1,0.96,6,310,5,false,true,false,support,low
0.65,0.86,2,181,2,false,true,false,support,low
0.49,0.73,4,244,3,false,true,false,support,low
0.73,0.96,5,256,6,true,true,false,support,medium
0.11,0.8,6,259,5,false,true,false,support,medium
0.73,0.91,4,247,5,false,true,false,support,medium
0.43,0.46,2,129,3,false,true,false,technical,medium
0.73,0.93,5,229,5,false,true,false,technical,medium
0.76,0.85,5,236,6,false,true,false,technical,medium
0.09,0.96,6,281,4,false,true,false,management,medium
0.9,0.81,5,264,5,false,true,false,IT,medium
0.1,0.81,6,308,4,false,true,false,IT,medium
0.43,0.48,2,147,3,false,true,false,IT,medium
0.41,0.55,2,159,3,false,true,false,IT,medium
0.41,0.57,2,154,3,false,true,false,IT,medium
0.1,0.87,6,307,4,false,true,false,product_mng,high
0.4,0.46,2,132,3,false,true,false,product_mng,low
0.4,0.53,2,152,3,false,true,false,product_mng,medium
0.36,0.48,5,310,3,false,true,false,product_mng,medium
0.83,0.95,5,230,5,false,true,false,IT,medium
0.83,0.94,5,273,5,false,true,false,RandD,medium
0.41,0.51,2,144,3,false,true,false,RandD,low
0.11,0.93,7,296,4,false,true,false,RandD,low
0.68,0.62,5,198,5,true,true,false,RandD,low
0.43,0.53,2,157,3,false,true,false,RandD,low
0.44,0.51,2,145,3,false,true,false,marketing,low
0.87,0.94,5,219,5,false,true,false,marketing,low
0.43,0.54,2,153,3,false,true,false,sales,low
0.89,0.48,3,178,5,false,true,false,accounting,low
0.83,0.88,5,239,5,false,true,false,support,low
0.11,0.87,6,278,5,false,true,false,technical,low
0.85,1,6,260,3,true,true,false,management,low
0.89,0.97,4,264,5,false,true,false,marketing,low
0.09,0.92,7,301,4,false,true,false,marketing,low
0.43,0.55,4,134,3,false,true,false,marketing,low
0.42,0.46,2,147,3,false,true,false,sales,low
0.43,0.54,2,130,3,false,true,false,sales,low
0.1,0.93,6,307,4,false,true,false,sales,low
0.37,0.46,2,156,3,false,true,false,sales,low
0.76,0.98,4,237,5,false,true,false,sales,low
0.88,0.89,4,254,5,false,true,false,sales,low
0.39,0.48,2,151,3,false,true,false,sales,low
0.45,0.54,2,131,3,false,true,false,sales,medium
0.91,0.95,5,241,5,false,true,false,sales,medium
0.86,0.85,5,267,5,false,true,false,sales,medium
0.39,0.53,2,153,3,false,true,false,sales,medium
0.89,1,4,217,5,false,true,false,sales,medium
0.11,0.86,6,254,4,false,true,false,sales,medium
0.1,0.87,6,265,5,false,true,false,sales,medium
0.38,0.57,2,146,3,false,true,false,sales,medium
0.4,0.54,2,156,3,false,true,false,sales,medium
0.86,0.97,5,269,5,false,true,false,sales,medium
0.1,0.86,6,288,4,false,true,false,sales,medium
0.1,0.85,6,283,4,false,true,false,sales,medium
0.42,0.5,2,128,3,false,true,false,accounting,high
0.36,0.46,2,130,3,false,true,false,accounting,low
0.39,0.48,2,127,3,false,true,false,accounting,medium
